pixel,background_mean,illuminated_mean,subtracted
0,118.666667,557.541667,438.875000
1,119.166667,568.000000,448.833333
2,119.125000,579.250000,460.125000
3,117.000000,579.333333,462.333333
4,118.541667,583.791667,465.250000
5,117.708333,581.291667,463.583333
6,116.875000,586.125000,469.250000
7,118.875000,585.833333,466.958333
8,116.958333,584.666667,467.708333
9,116.708333,584.625000,467.916667
10,117.416667,590.416667,473.000000
11,116.041667,592.666667,476.625000
12,117.333333,602.416667,485.083333
13,116.583333,605.666667,489.083333
14,116.291667,613.041667,496.750000
15,118.291667,619.583333,501.291667
16,115.708333,628.500000,512.791667
17,117.541667,637.083333,519.541667
18,118.083333,650.916667,532.833333
19,116.041667,659.125000,543.083333
20,120.000000,676.791667,556.791667
21,117.250000,690.750000,573.500000
22,117.666667,711.166667,593.500000
23,119.916667,731.000000,611.083333
24,116.166667,753.583333,637.416667
25,117.000000,777.291667,660.291667
26,119.166667,811.250000,692.083333
27,116.083333,832.708333,716.625000
28,119.041667,870.666667,751.625000
29,118.000000,897.708333,779.708333
30,118.541667,930.916667,812.375000
31,121.541667,966.750000,845.208333
32,120.541667,992.583333,872.041667
33,124.375000,1000.541667,876.166667
34,126.708333,1000.958333,874.250000
35,127.291667,998.666667,871.375000
36,131.791667,1000.125000,868.333333
37,133.166667,1000.333333,867.166667
38,135.625000,1000.833333,865.208333
39,139.500000,1000.916667,861.416667
40,137.625000,1002.000000,864.375000
41,140.916667,999.333333,858.416667
42,141.166667,1001.000000,859.833333
43,140.208333,1000.916667,860.708333
44,143.000000,1000.208333,857.208333
45,143.208333,1000.500000,857.291667
46,144.166667,895.541667,751.375000
47,148.833333,357.291667,208.458333
48,150.375000,308.958333,158.583333
49,153.208333,290.916667,137.708333
50,155.333333,273.041667,117.708333
51,154.458333,236.500000,82.041667
52,156.833333,221.458333,64.625000
53,153.791667,182.500000,28.708333
54,151.583333,158.583333,7.000000
55,152.916667,130.791667,0.000000
56,150.375000,128.583333,0.000000
57,150.291667,128.333333,0.000000
58,150.416667,127.750000,0.000000
59,149.208333,128.500000,0.000000
60,151.583333,128.375000,0.000000
61,150.041667,128.000000,0.000000
62,150.458333,127.916667,0.000000
63,152.916667,128.250000,0.000000
64,151.291667,128.541667,0.000000
65,150.375000,138.625000,0.000000
66,151.083333,151.791667,0.708333
67,149.000000,175.041667,26.041667
68,149.791667,205.333333,55.541667
69,148.458333,233.000000,84.541667
70,148.083333,260.916667,112.833333
71,147.958333,276.208333,128.250000
72,145.791667,293.000000,147.208333
73,144.958333,306.041667,161.083333
74,145.083333,317.750000,172.666667
75,141.458333,467.666667,326.208333
76,143.791667,896.416667,752.625000
77,140.833333,998.625000,857.791667
78,139.583333,999.583333,860.000000
79,140.916667,1000.458333,859.541667
80,137.625000,1000.958333,863.333333
81,138.333333,999.208333,860.875000
82,139.500000,1000.916667,861.416667
83,137.083333,1003.500000,866.416667
84,139.833333,1004.250000,864.416667
85,136.916667,1001.875000,864.958333
86,137.583333,1002.041667,864.458333
87,136.708333,1001.916667,865.208333
88,135.250000,1002.125000,866.875000
89,134.708333,1003.458333,868.750000
90,134.333333,1000.958333,866.625000
91,132.500000,1001.666667,869.166667
92,133.250000,1002.750000,869.500000
93,131.833333,999.666667,867.833333
94,132.416667,1001.291667,868.875000
95,131.833333,978.916667,847.083333
96,128.583333,909.166667,780.583333
97,130.041667,838.958333,708.916667
98,130.791667,785.416667,654.625000
99,127.916667,733.708333,605.791667
100,129.625000,693.208333,563.583333
101,127.250000,657.916667,530.666667
102,126.291667,630.875000,504.583333
103,127.916667,608.208333,480.291667
104,126.166667,584.791667,458.625000
105,126.291667,561.541667,435.250000
106,126.750000,543.625000,416.875000
107,124.958333,519.583333,394.625000
108,127.458333,503.458333,376.000000
109,124.208333,480.208333,356.000000
110,124.583333,459.291667,334.708333
111,125.375000,444.833333,319.458333
112,123.291667,429.041667,305.750000
113,124.166667,416.291667,292.125000
114,124.333333,407.625000,283.291667
115,123.250000,396.041667,272.791667
116,125.500000,393.791667,268.291667
117,123.625000,386.250000,262.625000
118,123.541667,384.500000,260.958333
119,125.833333,387.166667,261.333333
120,123.291667,384.291667,261.000000
121,124.541667,382.833333,258.291667
122,125.083333,383.083333,258.000000
123,122.875000,376.708333,253.833333
124,125.250000,376.208333,250.958333
125,124.541667,370.083333,245.541667
126,123.583333,364.750000,241.166667
127,124.500000,359.375000,234.875000
128,124.291667,351.291667,227.000000
129,124.416667,343.583333,219.166667
130,125.291667,336.750000,211.458333
131,123.875000,327.541667,203.666667
132,125.291667,321.958333,196.666667
133,123.250000,312.416667,189.166667
134,122.708333,303.791667,181.083333
135,123.958333,300.666667,176.708333
136,121.083333,287.833333,166.750000
137,122.250000,285.666667,163.416667
138,123.583333,282.500000,158.916667
139,121.000000,275.291667,154.291667
140,122.583333,274.708333,152.125000
141,122.083333,271.416667,149.333333
142,121.625000,269.250000,147.625000
143,124.541667,272.416667,147.875000
144,122.833333,272.458333,149.625000
145,124.333333,274.083333,149.750000
146,124.958333,277.958333,153.000000
147,125.166667,281.875000,156.708333
148,127.416667,285.625000,158.208333
149,127.000000,289.000000,162.000000
150,129.666667,294.833333,165.166667
151,130.083333,297.750000,167.666667
152,130.208333,299.000000,168.791667
153,132.583333,302.500000,169.916667
154,134.583333,306.250000,171.666667
155,133.625000,304.916667,171.291667
156,135.208333,307.166667,171.958333
157,134.166667,302.875000,168.708333
158,135.125000,301.541667,166.416667
159,137.208333,301.208333,164.000000
160,136.083333,295.541667,159.458333
161,137.375000,293.916667,156.541667
162,142.083333,294.416667,152.333333
163,141.083333,288.000000,146.916667
164,143.416667,288.000000,144.583333
165,143.750000,284.666667,140.916667
166,144.125000,280.541667,136.416667
167,147.916667,281.166667,133.250000
168,146.500000,276.458333,129.958333
169,147.500000,273.416667,125.916667
170,148.541667,271.291667,122.750000
171,146.333333,265.625000,119.291667
172,148.000000,263.000000,115.000000
173,146.375000,259.458333,113.083333
174,145.833333,254.541667,108.708333
175,146.583333,251.625000,105.041667
176,145.208333,247.083333,101.875000
177,145.458333,243.958333,98.500000
178,147.791667,243.750000,95.958333
179,146.625000,239.625000,93.000000
180,149.750000,240.291667,90.541667
181,149.125000,235.208333,86.083333
182,150.916667,234.583333,83.666667
183,153.750000,234.458333,80.708333
184,153.875000,231.958333,78.083333
185,154.208333,229.125000,74.916667
186,156.708333,229.125000,72.416667
187,156.125000,226.708333,70.583333
188,158.958333,227.041667,68.083333
189,158.958333,223.958333,65.000000
190,159.125000,221.750000,62.625000
191,160.750000,221.250000,60.500000
192,159.833333,216.666667,56.833333
193,160.375000,216.125000,55.750000
194,160.375000,213.916667,53.541667
195,156.125000,208.083333,51.958333
196,155.625000,206.208333,50.583333
197,150.041667,198.583333,48.541667
198,145.583333,192.541667,46.958333
199,145.458333,190.125000,44.666667
200,142.541667,185.583333,43.041667
201,142.458333,184.125000,41.666667
202,149.041667,189.041667,40.000000
203,148.958333,187.458333,38.500000
204,155.333333,192.541667,37.208333
205,157.875000,193.208333,35.333333
206,158.916667,193.583333,34.666667
207,162.375000,195.333333,32.958333
208,160.583333,193.125000,32.541667
209,160.875000,191.958333,31.083333
210,161.250000,191.625000,30.375000
211,158.541667,188.583333,30.041667
212,161.166667,190.208333,29.041667
213,158.083333,186.500000,28.416667
214,158.750000,185.291667,26.541667
215,159.083333,185.083333,26.000000
216,156.333333,181.083333,24.750000
217,156.583333,180.958333,24.375000
218,157.666667,181.125000,23.458333
219,155.000000,177.791667,22.791667
220,157.375000,179.875000,22.500000
221,155.666667,176.875000,21.208333
222,154.416667,175.625000,21.208333
223,155.625000,176.375000,20.750000
224,153.916667,173.416667,19.500000
225,153.416667,172.541667,19.125000
226,155.250000,174.041667,18.791667
227,152.333333,169.916667,17.583333
228,153.458333,170.875000,17.416667
229,150.166667,167.125000,16.958333
230,149.041667,165.833333,16.791667
231,149.458333,165.375000,15.916667
232,146.541667,162.166667,15.625000
233,144.666667,159.250000,14.583333
234,144.791667,158.708333,13.916667
235,141.333333,155.458333,14.125000
236,145.166667,158.333333,13.166667
237,142.541667,155.041667,12.500000
238,141.708333,153.916667,12.208333
239,142.625000,155.250000,12.625000
240,141.000000,153.583333,12.583333
241,141.875000,153.625000,11.750000
242,143.541667,155.875000,12.333333
243,140.666667,152.250000,11.583333
244,142.041667,152.458333,10.416667
245,142.333333,152.875000,10.541667
246,141.708333,152.166667,10.458333
247,144.458333,154.625000,10.166667
248,141.875000,151.541667,9.666667
249,143.458333,152.875000,9.416667
250,143.916667,152.833333,8.916667
251,141.333333,150.583333,9.250000
252,143.958333,152.875000,8.916667
253,141.625000,150.875000,9.250000
254,140.916667,149.666667,8.750000
255,142.583333,151.166667,8.583333
256,140.541667,148.958333,8.416667
257,140.666667,148.541667,7.875000
258,141.500000,149.166667,7.666667
259,138.916667,146.583333,7.666667
260,141.541667,148.541667,7.000000
261,140.375000,146.666667,6.291667
262,138.625000,145.500000,6.875000
263,139.291667,145.958333,6.666667
264,137.500000,144.416667,6.916667
265,137.083333,144.125000,7.041667
266,139.625000,146.125000,6.500000
267,136.166667,142.833333,6.666667
268,137.500000,143.833333,6.333333
269,137.041667,143.166667,6.125000
270,135.916667,141.541667,5.625000
271,139.000000,144.666667,5.666667
272,135.583333,141.458333,5.875000
273,137.250000,141.541667,4.291667
274,137.250000,141.958333,4.708333
275,134.083333,139.166667,5.083333
276,136.875000,142.083333,5.208333
277,136.000000,141.458333,5.458333
278,133.083333,138.500000,5.416667
279,135.166667,140.166667,5.000000
280,133.958333,139.166667,5.208333
281,134.958333,139.750000,4.791667
282,134.833333,139.500000,4.666667
283,132.750000,137.583333,4.833333
284,133.791667,139.041667,5.250000
285,132.291667,137.333333,5.041667
286,131.833333,137.000000,5.166667
287,132.958333,137.833333,4.875000
